"seqnames","start","end","width","strand","Proportion"
"NC_003070.9",12900001,13050000,150000,"*",0.0433440668412265
"NC_003070.9",13050001,13200000,150000,"*",0.0350249165271265
"NC_003070.9",13200001,13350000,150000,"*",0.0469147351601593
"NC_003070.9",13350001,13500000,150000,"*",0.0642478326254823
"NC_003070.9",13500001,13650000,150000,"*",0.0559093243487177
"NC_003070.9",13650001,13800000,150000,"*",0.07336083613886
"NC_003070.9",13800001,13950000,150000,"*",0.0728881857137237
"NC_003070.9",13950001,14100000,150000,"*",0.0639504391675061
"NC_003070.9",14100001,14250000,150000,"*",0.0797813517245691
"NC_003070.9",14250001,14400000,150000,"*",0.0760451834332608
"NC_003070.9",14400001,14550000,150000,"*",0.0905224592181434
"NC_003070.9",14550001,14700000,150000,"*",0.0820790476834253
"NC_003070.9",14700001,14850000,150000,"*",0.0456170289574084
"NC_003070.9",14850001,15000000,150000,"*",0.0698294138823917
"NC_003070.9",15000001,15150000,150000,"*",0.0803503932711784
"NC_003070.9",15150001,15300000,150000,"*",0.086324890628967
"NC_003070.9",15300001,15450000,150000,"*",0.0860900910576609
"NC_003070.9",15450001,15600000,150000,"*",0.0908970320086928
"NC_003070.9",15600001,15750000,150000,"*",0.0764772664296871
"NC_003070.9",15750001,15900000,150000,"*",0.0755994821114464
"NC_003070.9",15900001,16050000,150000,"*",0.0557016950063887
"NC_003070.9",16050001,16200000,150000,"*",0.0623686863592757
"NC_003070.9",16200001,16350000,150000,"*",0.048515288333376
"NC_003070.9",16350001,16500000,150000,"*",0.0459220732035041
"NC_003070.9",16500001,16650000,150000,"*",0.0652709518958869
"NC_003070.9",16650001,16800000,150000,"*",0.0458330289549338
"NC_003070.9",16800001,16950000,150000,"*",0.0270446024095167
"NC_003070.9",16950001,17100000,150000,"*",0.029713113635085
"NC_003070.9",17100001,17250000,150000,"*",0.00856713224703173
"NC_003070.9",17250001,17400000,150000,"*",0.030540040881445
"NC_003070.9",17400001,17550000,150000,"*",0.0262256472309497
"NC_003070.9",17550001,17700000,150000,"*",0.0285861765723702
"NC_003070.9",17700001,17850000,150000,"*",0.00634847943347296
"NC_003070.9",17850001,18000000,150000,"*",0.000538206828043574
"NC_003070.9",18000001,18150000,150000,"*",0.00837336454124575
"NC_003070.9",18150001,18300000,150000,"*",0.0084815554324466
"NC_003070.9",18300001,18450000,150000,"*",0.00216592600105088
"NC_003070.9",18450001,18600000,150000,"*",0.000638212108073674
"NC_003070.9",18600001,18750000,150000,"*",0.00206071800397896
"NC_003070.9",18750001,18900000,150000,"*",0.00844161950998695
"NC_003070.9",18900001,19050000,150000,"*",0.0183978471835324
"NC_003070.9",19050001,19200000,150000,"*",0.000487851789048095
"NC_003070.9",19200001,19350000,150000,"*",0.010372248960715
"NC_003070.9",19350001,19500000,150000,"*",0.00362603730532803
"NC_003070.9",19500001,19650000,150000,"*",0.00355370738925535
"NC_003070.9",19650001,19800000,150000,"*",0.0162752159754277
"NC_003070.9",19800001,19950000,150000,"*",0.000653138968990691
"NC_003070.9",19950001,20100000,150000,"*",0.0105840714811302
"NC_003070.9",20100001,20250000,150000,"*",0.000351305386098077
"NC_003070.9",20250001,20400000,150000,"*",0.00786081021395104
"NC_003070.9",20400001,20550000,150000,"*",0.00304967365151247
"NC_003070.9",20550001,20700000,150000,"*",-0.000392330375378058
"NC_003070.9",20700001,20850000,150000,"*",0.00201993269961603
"NC_003070.9",20850001,21000000,150000,"*",0.000463646757037852
"NC_003070.9",21000001,21150000,150000,"*",0.00245612399145148
"NC_003070.9",21150001,21300000,150000,"*",0.00540091237882261
"NC_003070.9",21300001,21450000,150000,"*",0.0101187915024982
"NC_003070.9",21450001,21600000,150000,"*",0.00906685553228684
"NC_003070.9",21600001,21750000,150000,"*",0.00685825675704181
"NC_003070.9",21750001,21900000,150000,"*",0.0146478185197896
"NC_003070.9",21900001,22050000,150000,"*",6.60312530466542e-05
"NC_003070.9",22050001,22200000,150000,"*",0.0117343643381159
"NC_003070.9",22200001,22350000,150000,"*",0.00226828910114128
"NC_003070.9",22350001,22500000,150000,"*",0.00120877817039972
"NC_003070.9",22500001,22650000,150000,"*",0.00131297801521869
"NC_003070.9",22650001,22800000,150000,"*",0.00440973941707171
"NC_003070.9",22800001,22950000,150000,"*",0.0011018712039177
"NC_003070.9",22950001,23100000,150000,"*",0.00027227801357348
"NC_003070.9",23100001,23250000,150000,"*",0.00779722906002833
"NC_003070.9",23250001,23400000,150000,"*",-0.000314922942103123
"NC_003070.9",23400001,23550000,150000,"*",0.00106473682544525
"NC_003070.9",23550001,23700000,150000,"*",0.00276399148043308
"NC_003070.9",23700001,23850000,150000,"*",-0.000441742512061936
"NC_003070.9",23850001,24000000,150000,"*",0.00518841403497826
"NC_003070.9",24000001,24150000,150000,"*",7.37304386438098e-05
"NC_003070.9",24150001,24300000,150000,"*",0.00254484914142243
"NC_003070.9",24300001,24450000,150000,"*",-0.0010892946323706
"NC_003070.9",24450001,24600000,150000,"*",0.00696287991798065
"NC_003070.9",24600001,24750000,150000,"*",0.00159804768972489
"NC_003070.9",24750001,24900000,150000,"*",0.00112216627484164
"NC_003070.9",24900001,25050000,150000,"*",-0.000239076680791164
"NC_003070.9",25050001,25200000,150000,"*",0.0044842030386863
"NC_003070.9",25200001,25350000,150000,"*",0.000651585028472883
"NC_003070.9",25350001,25500000,150000,"*",0.00196775879801518
"NC_003070.9",25500001,25650000,150000,"*",0.00115290752741418
"NC_003070.9",25650001,25800000,150000,"*",0.00178624162457132
"NC_003070.9",25800001,25950000,150000,"*",1.18520886544281e-05
"NC_003070.9",25950001,26100000,150000,"*",-0.000242183495008944
"NC_003070.9",26100001,26250000,150000,"*",0.000142253995900088
"NC_003070.9",26250001,26400000,150000,"*",0.00659649494535908
"NC_003070.9",26400001,26550000,150000,"*",-0.00013317067507058
"NC_003070.9",26550001,26700000,150000,"*",-0.000686317896591368
"NC_003070.9",26700001,26850000,150000,"*",0.00192369417202401
"NC_003070.9",26850001,27000000,150000,"*",0.000372863082044221
"NC_003070.9",27000001,27150000,150000,"*",0.00115247536461604
"NC_003070.9",27150001,27300000,150000,"*",-0.000456512405064927
"NC_003070.9",27300001,27450000,150000,"*",-0.00125261613466278
"NC_003070.9",27450001,27600000,150000,"*",0.000787107415360108
"NC_003070.9",27600001,27750000,150000,"*",0.000630318303156633
"NC_003070.9",27750001,27900000,150000,"*",-0.000225032490921121
"NC_003070.9",27900001,28050000,150000,"*",-0.000719362567988206
"NC_003070.9",28050001,28200000,150000,"*",-0.000477419336132943
"NC_003070.9",28200001,28350000,150000,"*",0.000863733231228819
"NC_003070.9",28350001,28500000,150000,"*",0.00083034197219748
"NC_003070.9",28500001,28650000,150000,"*",-0.000952119062803779
"NC_003070.9",28650001,28800000,150000,"*",-0.000472473280236018
"NC_003070.9",28800001,28950000,150000,"*",-0.000364757652731511
"NC_003070.9",28950001,29100000,150000,"*",0.000502909942876722
"NC_003070.9",29100001,29250000,150000,"*",-0.000206228230597148
"NC_003070.9",29250001,29400000,150000,"*",0.000630779786591134
"NC_003070.9",29400001,29550000,150000,"*",0.00647359102580165
"NC_003070.9",29550001,29700000,150000,"*",-0.000471602825268059
"NC_003070.9",29700001,29850000,150000,"*",-0.000318221011882353
"NC_003070.9",29850001,30000000,150000,"*",-0.000660695800141006
"NC_003070.9",30000001,30150000,150000,"*",-0.000316293120332167
"NC_003070.9",30150001,30300000,150000,"*",-3.19335017750985e-05
"NC_003071.7",1006,151005,150000,"*",0.034476499863561
"NC_003071.7",151006,301005,150000,"*",0.00461124023192611
"NC_003071.7",301006,451005,150000,"*",0.0124672513407376
"NC_003071.7",451006,601005,150000,"*",0.0278417557154593
"NC_003071.7",601006,751005,150000,"*",0.00382954665562691
"NC_003071.7",751006,901005,150000,"*",0.0102330925367944
"NC_003071.7",901006,1051005,150000,"*",0.00942045687250188
"NC_003071.7",1051006,1201005,150000,"*",0.00482938651069663
"NC_003071.7",1201006,1351005,150000,"*",0.0335423482710299
"NC_003071.7",1351006,1501005,150000,"*",0.020993199052041
"NC_003071.7",1501006,1651005,150000,"*",0.0237211755656797
"NC_003071.7",1651006,1801005,150000,"*",0.0371205682039629
"NC_003071.7",1801006,1951005,150000,"*",0.0419632673342522
"NC_003071.7",1951006,2101005,150000,"*",0.0460199568425037
"NC_003071.7",2101006,2251005,150000,"*",0.0438198484709443
"NC_003071.7",2251006,2401005,150000,"*",0.0441768400677169
"NC_003071.7",2401006,2551005,150000,"*",0.0714197135307785
"NC_003071.7",2551006,2701005,150000,"*",0.0564022328301137
"NC_003071.7",2701006,2851005,150000,"*",0.0646216337201775
"NC_003071.7",2851006,3001005,150000,"*",0.043812650896569
"NC_003071.7",3001006,3151005,150000,"*",0.0591261691900402
"NC_003071.7",3151006,3301005,150000,"*",0.0689240200427645
"NC_003071.7",3301006,3451005,150000,"*",0.0820437278734255
"NC_003071.7",3451006,3601005,150000,"*",0.0692960530056129
"NC_003071.7",3601006,3751005,150000,"*",0.0533583576762025
"NC_003071.7",3751006,3901005,150000,"*",0.086354738306298
"NC_003071.7",3901006,4051005,150000,"*",0.0761952432911394
"NC_003071.7",4051006,4201005,150000,"*",0.0678482601402574
"NC_003071.7",4201006,4351005,150000,"*",0.0601252921179222
"NC_003071.7",4351006,4501005,150000,"*",0.0640923946813902
"NC_003071.7",4501006,4651005,150000,"*",0.0726810735410688
"NC_003071.7",4651006,4801005,150000,"*",0.0653194446808201
"NC_003071.7",4801006,4951005,150000,"*",0.060837876442213
"NC_003071.7",4951006,5101005,150000,"*",0.0721398325575785
"NC_003071.7",5101006,5251005,150000,"*",0.065856891712032
"NC_003071.7",5251006,5401005,150000,"*",0.0750825014097982
"NC_003071.7",5401006,5551005,150000,"*",0.0470831466838228
"NC_003071.7",5551006,5701005,150000,"*",0.0541032395317262
"NC_003071.7",5701006,5851005,150000,"*",0.0513794045479721
"NC_003071.7",5851006,6001005,150000,"*",0.0487554713532624
"NC_003071.7",6001006,6151005,150000,"*",0.0566138555769598
"NC_003071.7",6151006,6301005,150000,"*",0.0447693164071512
"NC_003071.7",6301006,6451005,150000,"*",0.036839154828311
"NC_003071.7",6451006,6601005,150000,"*",0.0515782658733423
"NC_003071.7",6601006,6751005,150000,"*",0.0397510672208372
"NC_003071.7",6751006,6901005,150000,"*",0.0407294646966534
"NC_003071.7",6901006,7051005,150000,"*",0.0375856251524349
"NC_003071.7",7051006,7201005,150000,"*",0.0166880106829773
"NC_003071.7",7201006,7351005,150000,"*",0.0206035420690391
"NC_003071.7",7351006,7501005,150000,"*",0.00845931677335082
"NC_003071.7",7501006,7651005,150000,"*",0.00462928863328995
"NC_003071.7",7651006,7801005,150000,"*",0.0128756800452086
"NC_003071.7",7801006,7951005,150000,"*",0.00108174606085442
"NC_003071.7",7951006,8101005,150000,"*",0.00639621833068629
